,Age,CapitalGain,CapitalLoss,HoursPerWeek,Work-Class,Education,Marital_status,Ocupation,Relationship,Race,Sex,Country,prediction
26157,21,0,0,24, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
24579,35,0,0,25, ?, HS-grad, Married-civ-spouse, ?, Other-relative, White, Female, United-States,0
16733,33,0,0,40, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,0
17059,45,0,0,40, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male, United-States,1
12725,39,0,0,40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Philippines,1
30270,24,0,0,60, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
4534,20,0,0,40, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female, United-States,0
8898,42,0,0,60, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Taiwan,1
31056,31,0,1564,60, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,1
31283,61,0,0,16, Self-emp-not-inc, HS-grad, Widowed, Prof-specialty, Unmarried, White, Female, United-States,0
8052,55,0,0,50, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
11294,73,0,0,40, ?, 1st-4th, Married-civ-spouse, ?, Husband, White, Male, Portugal,0
7603,35,0,0,50, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States,0
19108,41,0,0,50, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
2369,37,3781,0,50, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, Mexico,0
12184,30,0,0,45, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
19415,25,0,0,40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0
17603,42,0,0,8, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
7462,29,2635,0,40, Local-gov, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States,1
8059,27,0,0,40, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male, Philippines,0
213,60,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States,1
31615,34,0,0,60, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
4887,33,0,0,40, Federal-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female, United-States,0
7572,63,99999,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
2907,33,0,1138,40, Local-gov, HS-grad, Divorced, Adm-clerical, Own-child, White, Female, United-States,0
249,45,0,0,40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?,0
10508,45,0,0,45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
30756,27,0,0,40, Private, HS-grad, Separated, Handlers-cleaners, Unmarried, White, Male, United-States,0
11494,50,0,0,60, Federal-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male, United-States,1
10348,26,0,0,30, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male, United-States,0
2622,42,0,0,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, United-States,1
24738,57,0,0,55, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
28675,49,7688,0,30, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
28162,39,0,0,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
4859,18,0,0,40, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Other-relative, White, Male, United-States,0
20855,22,2407,0,40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
13456,26,0,0,40, Private, 7th-8th, Never-married, Handlers-cleaners, Unmarried, White, Male, Guatemala,0
29085,20,0,0,40, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male, United-States,0
14453,20,0,0,20, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
7788,40,0,0,40, Private, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
25314,43,0,0,40, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States,0
23831,44,0,0,40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
8617,33,0,0,65, Federal-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,1
2163,61,0,0,55, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male, United-States,1
14975,22,0,0,39, State-gov, Some-college, Never-married, Other-service, Other-relative, Black, Male, Haiti,0
5460,25,0,0,40, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
22020,42,0,0,50, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
10832,24,0,0,40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0
4095,31,0,0,54, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
7185,41,0,0,55, Local-gov, Masters, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0
30359,24,0,0,50, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
17441,32,0,0,40, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male, United-States,0
23807,25,0,0,30, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, Columbia,0
21784,32,0,0,40, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
24743,48,0,0,40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
9646,62,0,0,66, Self-emp-not-inc, 7th-8th, Widowed, Other-service, Not-in-family, White, Female, United-States,0
17015,72,991,0,7, ?, Bachelors, Separated, ?, Not-in-family, White, Female, United-States,0
18019,17,0,0,18, ?, 11th, Never-married, ?, Own-child, White, Male, United-States,0
3215,32,0,0,55, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, Greece,1
23270,27,0,0,45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
18718,40,0,0,55, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
25240,25,0,0,40, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male, Mexico,0
17321,26,0,0,40, ?, 10th, Separated, ?, Not-in-family, White, Male, United-States,0
17292,19,0,0,25, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States,0
15107,42,4650,0,35, Local-gov, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
24671,27,0,0,77, State-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,1
264,26,0,0,40, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
23427,30,0,0,40, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female, United-States,0
30963,34,0,0,40, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female, United-States,0
21659,38,0,0,40, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, White, Male, United-States,0
11528,18,0,0,20, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States,0
18865,23,0,0,32, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
4975,29,0,0,45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
31188,38,5178,0,50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
4702,18,0,0,15, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States,0
16832,49,0,0,55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
2749,20,0,0,11, Private, 9th, Never-married, Machine-op-inspct, Own-child, White, Female, Nicaragua,0
31164,49,0,1887,40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
22305,44,0,0,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
3792,53,0,0,40, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
19461,19,0,0,16, ?, HS-grad, Never-married, ?, Not-in-family, White, Female, United-States,0
28595,35,0,0,35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
4138,20,0,0,12, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female, Germany,0
31741,31,0,0,40, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, United-States,1
1262,69,0,0,1, ?, Assoc-voc, Widowed, ?, Not-in-family, White, Female, United-States,0
10472,23,0,0,25, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
21763,77,3818,0,14, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
18382,35,0,0,25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States,0
12514,34,0,0,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
16560,24,0,0,40, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female, United-States,0
23945,21,0,0,35, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States,0
5060,40,0,0,43, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
25728,62,0,0,40, Private, 10th, Divorced, Other-service, Own-child, White, Female, United-States,0
3906,53,0,0,35, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States,1
5245,48,0,0,45, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,1
6156,20,0,0,16, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
394,34,0,0,35, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States,0
22061,28,0,0,35, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Wife, Black, Female, Haiti,1
10484,18,0,0,15, Private, 11th, Never-married, Other-service, Own-child, White, Female, United-States,0
28577,43,0,0,40, Federal-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
17476,62,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
5454,32,0,0,45, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,1
30749,41,0,1887,40, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
13389,39,0,0,60, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
6252,26,0,0,42, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States,0
32057,44,0,0,45, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
1503,64,15024,0,55, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
8894,43,0,0,25, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
19510,55,0,0,40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
23131,37,0,0,20, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, Canada,1
1507,42,0,0,50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
14445,34,0,0,40, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, England,1
16510,33,0,0,37, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,0
3946,39,0,0,62, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male, England,0
13860,22,0,0,45, Private, Assoc-acdm, Never-married, Transport-moving, Not-in-family, White, Male, United-States,0
15845,46,0,0,37, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
6441,28,0,0,40, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male, United-States,0
6206,40,0,0,40, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
11327,45,0,0,50, Federal-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
11369,28,0,0,40, Private, 10th, Never-married, Handlers-cleaners, Other-relative, Black, Male, United-States,0
20641,49,0,0,50, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
3351,30,0,1719,25, ?, Some-college, Never-married, ?, Not-in-family, White, Female, United-States,0
28728,36,7688,0,50, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male, United-States,1
673,33,0,0,40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
4383,20,0,0,40, Private, Some-college, Never-married, Sales, Other-relative, White, Female, United-States,0
8576,44,0,0,40, Local-gov, Prof-school, Separated, Prof-specialty, Unmarried, White, Female, United-States,0
5022,42,0,0,60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, United-States,0
8904,38,0,0,40, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
6055,45,0,0,42, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,0
27615,47,0,0,38, Private, 11th, Divorced, Other-service, Not-in-family, White, Female, United-States,0
13649,20,0,0,40, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male, United-States,0
1254,28,0,1762,40, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States,0
27808,22,0,0,25, ?, Some-college, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female, United-States,0
14979,55,0,0,50, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, United-States,1
27917,45,0,0,38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
2883,45,0,0,50, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,1
4788,37,0,0,45, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
4858,43,0,0,60, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
18321,51,0,0,45, Self-emp-not-inc, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
5997,24,0,0,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, Mexico,0
7145,34,0,0,40, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0
17075,51,0,0,40, Self-emp-not-inc, 10th, Widowed, Transport-moving, Other-relative, White, Female, United-States,0
5178,41,0,0,38, Local-gov, HS-grad, Divorced, Transport-moving, Not-in-family, Black, Female, United-States,0
31653,25,0,0,60, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male, United-States,0
16555,48,0,0,50, Self-emp-not-inc, 7th-8th, Never-married, Farming-fishing, Not-in-family, White, Male, United-States,0
518,21,0,0,35, ?, Some-college, Never-married, ?, Unmarried, White, Female, United-States,0
29313,45,0,0,50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
14216,34,0,0,48, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
697,31,0,1902,40, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
26680,32,0,0,30, Private, Some-college, Divorced, Sales, Unmarried, White, Female, United-States,0
25740,41,0,0,40, Private, HS-grad, Widowed, Machine-op-inspct, Not-in-family, White, Female, United-States,0
16500,52,0,0,40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, ?,1
19530,30,0,0,40, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
11843,26,0,0,40, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,0
23341,46,0,0,48, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,0
29872,54,15024,0,50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
18948,50,5178,0,40, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
2330,53,0,1887,40, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female, Philippines,1
1546,17,0,0,30, Private, 10th, Never-married, Sales, Own-child, White, Male, United-States,0
19140,45,0,2824,76, Private, 11th, Divorced, Transport-moving, Not-in-family, White, Male, United-States,1
24398,46,0,0,40, Local-gov, 11th, Never-married, Other-service, Not-in-family, White, Male, United-States,0
26075,25,0,0,50, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male, United-States,0
7950,30,0,0,44, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
13947,45,7688,0,50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
32485,28,0,0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States,0
26466,36,0,0,40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
2685,27,0,0,40, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female, United-States,0
1798,50,0,0,40, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
2072,63,0,0,40, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States,0
13914,66,0,0,24, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
8648,21,0,0,40, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female, United-States,0
1761,65,0,0,40, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States,0
7837,45,0,0,40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
21,54,0,0,20, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female, United-States,0
30196,22,0,0,24, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States,0
28061,51,0,0,40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
13618,33,0,0,40, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Male, United-States,0
17145,36,0,0,38, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0
4086,50,0,0,99, ?, 10th, Married-civ-spouse, ?, Husband, White, Male, United-States,1
19805,34,0,0,50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
5499,56,0,0,35, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male, United-States,0
23508,24,0,0,32, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male, United-States,0
7859,37,0,0,48, Local-gov, Some-college, Divorced, Protective-serv, Unmarried, White, Male, Germany,0
14417,25,0,0,20, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
20016,25,0,0,35, Self-emp-inc, Some-college, Never-married, Sales, Own-child, White, Female, United-States,0
30453,22,0,0,40, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male, United-States,0
23811,19,0,0,35, Local-gov, Some-college, Never-married, Other-service, Own-child, Black, Female, United-States,0
18130,40,0,0,45, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, England,0
23696,29,0,0,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
16883,29,0,0,42, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female, United-States,0
20096,28,0,0,40, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
31322,39,0,0,50, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
7327,53,0,0,40, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, ?,1
24681,56,0,0,40, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
24416,50,0,0,40, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male, United-States,0
4196,76,0,0,40, Self-emp-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
24061,54,0,0,40, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female, United-States,1
7548,37,0,0,40, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States,0
15358,27,0,0,40, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female, Jamaica,0
27534,35,0,0,40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
6317,40,0,0,20, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
19998,54,0,0,44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
16166,51,0,0,50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
25409,19,0,0,20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States,0
10001,23,0,0,45, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
12090,65,0,0,25, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
13821,30,0,0,40, Private, 10th, Never-married, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Male, Vietnam,0
28042,29,0,0,40, Federal-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
31169,23,0,0,40, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,0
10963,52,0,0,40, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
3879,43,0,0,40, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female, Vietnam,0
18982,44,0,0,45, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, ?,1
8306,25,0,0,40, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States,0
24631,48,0,0,65, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
11897,47,0,0,50, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
27300,39,5178,0,48, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
21534,18,0,0,20, Private, 12th, Never-married, Handlers-cleaners, Own-child, Black, Male, United-States,0
13952,54,0,0,43, Private, 11th, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0
30753,58,0,0,40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
5352,26,0,0,35, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,0
18434,58,0,0,25, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States,0
15992,28,0,0,30, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, Other, Male, United-States,0
31096,59,0,0,40, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
22328,54,0,0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States,1
28194,27,0,0,50, ?, Bachelors, Married-spouse-absent, ?, Not-in-family, White, Male, ?,0
18097,72,0,0,30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
9629,43,0,0,35, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
29859,52,0,0,40, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
29546,25,0,0,24, Private, Some-college, Never-married, Tech-support, Unmarried, White, Female, United-States,0
15680,22,0,0,40, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States,0
11325,50,0,1887,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
4560,24,0,0,40, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0
18951,41,0,0,40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
30035,27,0,0,40, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female, United-States,0
7864,36,3908,0,55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
1695,51,0,1902,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States,1
